date,method,dataset, rmse,r2,mae,window_size,z_dim_total,hidden_dim,lr_optimizer,batch_size,epochs,horizon,cyclic_threshold,earlystop_patience,lambda_recon,lambda_kl_euc,lambda_kl_sph,lambda_pred,task
03:12,torlin_0.52,nasa_moon,0.6124,0.6187,0.523,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:12,direct,nasa_moon,0.4771,0.7686,0.3958,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:13,sphlin_0.01,nasa_moon,0.6198,0.6094,0.5139,60,28,256,0.001,64,150,1,0.00950056645,40,800,0.05,0.005,1500,forecast
03:14,sphlin_0.95,nasa_moon,0.6382,0.5859,0.5286,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:15,sphlin_0.50,nasa_moon,0.6518,0.5681,0.5263,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:15,sphlin_0.50,nasa_moon,0.6358,0.589,0.5077,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:16,sphlin_0.50,nasa_moon,0.6689,0.5451,0.573,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:17,direct,nasa_moon,0.4131,0.8265,0.3448,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:18,torlin_0.52,nasa_moon,0.6471,0.5743,0.5515,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:19,sphlin_0.50,nasa_moon,0.5997,0.6344,0.51,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:19,direct,nasa_moon,0.4983,0.7476,0.423,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:20,sphlin_0.05,nasa_moon,0.7992,0.3506,0.6623,60,28,256,0.001,64,150,1,0.050056645,40,800,0.05,0.005,1500,forecast
03:21,sphlin_0.95,nasa_moon,0.6334,0.5921,0.5408,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:21,torlin_0.52,nasa_moon,0.6915,0.5138,0.5847,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:21,sphlin_0.95,nasa_moon,0.6638,0.5521,0.5667,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:21,direct,nasa_moon,0.9309,0.1191,0.8112,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:23,sphlin_0.05,nasa_moon,0.8248,0.3083,0.7124,60,28,256,0.001,64,150,1,0.050056645,40,800,0.05,0.005,1500,forecast
03:23,sphlin_0.50,nasa_moon,0.9413,0.0993,0.8049,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:24,torlin_0.52,nasa_moon,0.6664,0.5485,0.5641,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:25,sphlin_0.50,nasa_moon,1.0823,-0.1909,0.928,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:25,direct,nasa_moon,1.0948,-0.2186,0.9451,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:26,sphlin_0.05,nasa_moon,0.736,0.4493,0.618,60,28,256,0.001,64,150,1,0.050056645,40,800,0.05,0.005,1500,forecast
03:26,sphlin_0.95,nasa_moon,0.664,0.5518,0.5424,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:27,torlin_0.52,nasa_moon,0.7213,0.4711,0.6125,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:27,sphlin_0.95,nasa_moon,0.6545,0.5645,0.5482,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:27,direct,nasa_moon,1.0708,-0.1656,0.93,60,28,256,0.001,64,150,1,0.950056645,40,800,0.05,0.005,1500,forecast
03:28,sphlin_0.05,nasa_moon,0.6852,0.5227,0.5749,60,28,256,0.001,64,150,1,0.050056645,40,800,0.05,0.005,1500,forecast
03:28,sphlin_0.50,nasa_moon,1.0567,-0.1352,0.9125,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:29,torlin_0.52,nasa_moon,0.8195,0.3173,0.6716,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:29,sphlin_0.50,nasa_moon,0.7474,0.4321,0.6118,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:29,direct,nasa_moon,1.3203,-0.7722,1.1566,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:30,sphlin_0.05,nasa_moon,1.0127,-0.0427,0.8634,60,28,256,0.001,64,150,1,0.050056645,40,800,0.05,0.005,1500,forecast
03:30,sphlin_0.50,nasa_moon,0.7059,0.4934,0.5871,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:31,sphlin_0.50,nasa_moon,0.7643,0.4061,0.6349,60,28,256,0.001,64,150,1,0.50056645,40,800,0.05,0.005,1500,forecast
03:31,sphlin_0.40,nasa_moon,1.3603,-0.8814,1.1429,60,28,256,0.001,64,150,1,0.40056645,40,800,0.05,0.005,1500,forecast
03:32,torlin_0.52,nasa_moon,0.9756,0.0324,0.8323,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:32,sphlin_0.40,nasa_moon,1.0107,-0.0385,0.8783,60,28,256,0.001,64,150,1,0.40056645,40,800,0.05,0.005,1500,forecast
03:32,direct,nasa_moon,1.4577,-1.1602,1.2947,60,28,256,0.001,64,150,1,0.40056645,40,800,0.05,0.005,1500,forecast
03:33,sphlin_0.90,nasa_moon,0.9182,0.1428,0.7829,60,28,256,0.001,64,150,1,0.90056645,40,800,0.05,0.005,1500,forecast
03:35,sphlin_0.09,nasa_moon,1.0994,-0.2288,0.9581,60,28,256,0.001,64,150,1,0.090056645,40,800,0.05,0.005,1500,forecast
03:35,sphlin_0.00,nasa_moon,1.2181,-0.5085,1.0554,60,28,256,0.001,64,150,1,9.0056645e-05,40,800,0.05,0.005,1500,forecast
03:36,torlin_0.52,nasa_moon,1.0332,-0.0853,0.883,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:36,sphlin_0.00,nasa_moon,1.4052,-1.0075,1.2677,60,28,256,0.001,64,150,1,9.0056645e-05,40,800,0.05,0.005,1500,forecast
03:36,direct,nasa_moon,1.5017,-1.2925,1.33,60,28,256,0.001,64,150,1,9.0056645e-05,40,800,0.05,0.005,1500,forecast
03:37,sphlin_0.90,nasa_moon,1.2098,-0.4879,1.041,60,28,256,0.001,64,150,1,0.90056645,40,800,0.05,0.005,1500,forecast
03:38,sphlin_0.06,nasa_moon,1.6773,-1.8603,1.5115,60,28,256,0.001,64,150,1,0.056645,40,800,0.05,0.005,1500,forecast
03:38,torlin_0.52,nasa_moon,1.7574,-2.1398,1.5797,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:38,sphlin_0.06,nasa_moon,1.8503,-2.4807,1.6756,60,28,256,0.001,64,150,1,0.056645,40,800,0.05,0.005,1500,forecast
03:38,direct,nasa_moon,1.4398,-1.1074,1.2737,60,28,256,0.001,64,150,1,0.056645,40,800,0.05,0.005,1500,forecast

03:45,torlin_0.52,nasa_moon,0.6422,0.5807,0.548,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:46,sphlin_0.06,nasa_moon,0.6848,0.5233,0.5595,60,28,256,0.001,64,150,1,0.056645,40,800,0.05,0.005,1500,forecast
03:46,direct,nasa_moon,0.4949,0.751,0.404,60,28,256,0.001,64,150,1,0.056645,40,800,0.05,0.005,1500,forecast
03:47,sphlin_0.57,nasa_moon,0.5485,0.6941,0.4523,60,28,256,0.001,64,150,1,0.56645,40,800,0.05,0.005,1500,forecast
03:47,sphlin_0.96,nasa_moon,0.6196,0.6097,0.5168,60,28,256,0.001,64,150,1,0.956645,40,800,0.05,0.005,1500,forecast

03:48,torlin,nasa_moon,0.7004,0.5013,0.5916,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:48,sphlin_0.96,nasa_moon,0.824,0.3097,0.6915,60,28,256,0.001,64,150,1,0.956645,40,800,0.05,0.005,1500,forecast
03:48,direct,nasa_moon,0.937,0.1074,0.8081,60,28,256,0.001,64,150,1,0.956645,40,800,0.05,0.005,1500,forecast
03:49,sphlin_0.00,nasa_moon,0.8784,0.2156,0.7663,60,28,256,0.001,64,150,1,0.00056645,40,800,0.05,0.005,1500,forecast
03:49,sphlin_0.57,nasa_moon,1.0384,-0.0962,0.8519,60,28,256,0.001,64,150,1,0.56645,40,800,0.05,0.005,1500,forecast

03:51,torlin,nasa_moon,0.82,0.3165,0.6886,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:51,sphlin_0.01,nasa_moon,0.9264,0.1274,0.7976,60,28,256,0.001,64,150,1,0.00645,40,800,0.05,0.005,1500,forecast
03:52,direct,nasa_moon,1.3047,-0.7305,1.1161,60,28,256,0.001,64,150,1,0.00645,40,800,0.05,0.005,1500,forecast
03:52,sphlin_0.01,nasa_moon,0.8505,0.2646,0.738,60,28,256,0.001,64,150,1,0.00645,40,800,0.05,0.005,1500,forecast
03:52,sphlin_0.94,nasa_moon,0.8468,0.271,0.7161,60,28,256,0.001,64,150,1,0.945,40,800,0.05,0.005,1500,forecast

03:53,torlin,nasa_moon,1.1439,-0.3304,0.984,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
03:53,sphlin_0.94,nasa_moon,1.146,-0.3351,0.9666,60,28,256,0.001,64,150,1,0.945,40,800,0.05,0.005,1500,forecast
03:53,direct,nasa_moon,1.3683,-0.9035,1.1756,60,28,256,0.001,64,150,1,0.945,40,800,0.05,0.005,1500,forecast
03:54,sphlin_0.01,nasa_moon,1.1253,-0.2875,0.9393,60,28,256,0.001,64,150,1,0.00945,40,800,0.05,0.005,1500,forecast
03:55,sphlin_0.50,nasa_moon,1.1399,-0.321,0.9645,60,28,256,0.001,64,150,1,0.500945,40,800,0.05,0.005,1500,forecast
03:56,sphlin_0.12,nasa_moon,1.4514,-1.1415,1.2209,60,28,256,0.001,64,150,1,0.1200945,40,800,0.05,0.005,1500,forecast

04:02,torlin,nasa_moon,0.6263,0.6012,0.517,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
04:03,sphlin_0.12,nasa_moon,0.5977,0.6368,0.4837,60,28,256,0.001,64,150,1,0.1200945,40,800,0.05,0.005,1500,forecast
04:03,direct,nasa_moon,0.3581,0.8696,0.2784,60,28,256,0.001,64,150,1,0.1200945,40,800,0.05,0.005,1500,forecast
04:03,sphlin_0.99,nasa_moon,0.5871,0.6496,0.484,60,28,256,0.001,64,150,1,0.991200945,40,800,0.05,0.005,1500,forecast
04:04,sphlin_0.49,nasa_moon,0.7472,0.4324,0.6015,60,28,256,0.001,64,150,1,0.491200945,40,800,0.05,0.005,1500,forecast

04:05,torlin,nasa_moon,0.4401,0.8031,0.3713,60,28,256,0.001,64,150,1,0.52,40,800,0.05,0.005,1500,forecast
