window_size,sliding_size,z_dim_total,hidden_dim,lr_optimizer,batch_size,epochs,cyclic_threshold,earlystop_patience,lambda_recon,lambda_latent,rmse,r2
16,8,64,32,0.00042524627693294023,256,80,0.25,5,1.516355176574489,0.0012440304386857253,0.19653511435699944,-0.4482837548352283
16,8,60,32,0.0004349784307398951,256,80,0.3,5,1.5390470201278794,0.0015774170835722915,0.20436349066169096,-0.5659575029025716
16,8,60,36,0.0004766271914557724,256,80,0.25,5,1.6294131122277404,0.0014238521263057568,0.2059077372038155,-0.5897128317317069
16,8,56,36,0.0004294715026789237,256,80,0.25,5,1.5715315364330422,0.0010617454273286677,0.21336036976504114,-0.7068716236973795
16,8,64,40,0.0005618065990510668,256,80,0.25,5,1.5651633984607018,0.0011134193850171471,0.21504620117040812,-0.7339513088887797
16,8,64,40,0.0005387260577355669,256,80,0.25,5,1.633590557009682,0.0012574726135279215,0.2157389823598166,-0.7451413116203127
16,8,60,32,0.000379227050415233,256,80,0.275,5,1.5114625322782709,0.0015067918257653653,0.2163184674300861,-0.7545289661077756
16,8,60,32,0.000487323238826563,256,80,0.275,5,1.53371318995675,0.0011857845750049742,0.22126380146050503,-0.8356677874559326
16,8,56,40,0.0003622174027042812,256,80,0.3,5,1.5318312886921963,0.0015859719842545566,0.22135930006410298,-0.8372526968736453
16,8,60,40,0.0005191935537483356,256,80,0.275,5,1.5596857681574692,0.0012310301425643762,0.22164140641667426,-0.8419385711530678
16,8,56,36,0.000514845614897186,256,80,0.25,5,1.501296611893386,0.0012193335626663683,0.2225841322243795,-0.8576408348596729
16,8,64,36,0.0004356556694110308,256,80,0.25,5,1.5850190693421786,0.0013622227568875456,0.22364313617933798,-0.8753593382385751
16,8,64,40,0.0004688862312235388,256,80,0.3,5,1.5818226921941014,0.001245872315009092,0.22654766170764573,-0.9243874490750257
16,8,60,32,0.00039848127343981995,256,80,0.3,5,1.5629273152979735,0.0014046160173328361,0.2342136108719378,-1.0568262535725546
16,8,60,32,0.00039045354067923947,256,80,0.275,5,1.6342144667896799,0.0014891939774652075,0.23538326049855637,-1.0774208994675245
16,8,56,40,0.0004574089323167185,256,80,0.3,5,1.5370427864264298,0.0011711509545685875,0.23643580977181788,-1.0960413966986549
16,8,56,40,0.0005050247124483946,256,80,0.25,5,1.6460802641766117,0.0015218025708100982,0.24043065154649967,-1.1674695972655358
16,8,64,40,0.00047554606918245624,256,80,0.3,5,1.6341441970797086,0.0015181847526873945,0.2485288206367707,-1.315937663550494
16,8,56,36,0.0003831324953052088,256,80,0.3,5,1.5711152806113151,0.0015997576002942584,0.24884204485930647,-1.3217789570700536
16,8,64,40,0.00037717667364300423,256,80,0.25,5,1.6391594963385543,0.0011012900356122581,0.24889622880846138,-1.3227901756484313
16,8,64,32,0.00035590042109464584,256,80,0.275,5,1.6363275509750552,0.0011928139881296133,0.2690001435244111,-1.7131785265561246
16,6,60,40,0.000552843028484946,256,80,0.25,5,1.6408825955412134,0.0013996809845153964,0.27129245494581306,-0.05891434395978057
16,6,60,36,0.0005207022695562244,256,80,0.275,5,1.5820415657075815,0.0013623824772788446,0.2735719853321013,-0.07678412582754546
16,6,60,36,0.00039498843285911626,256,80,0.25,5,1.5372182602668378,0.0012442918683981533,0.27581089190987795,-0.09448099710596414
16,6,64,32,0.0004723803891206929,256,80,0.275,5,1.621721106202846,0.0011715611718900831,0.27584625704420546,-0.09476168905929172
16,6,60,36,0.00040435663682301395,256,80,0.3,5,1.5134504765771961,0.0011575140147999361,0.27881388509900024,-0.11844387719281047
16,6,60,32,0.0003947133310290231,256,80,0.275,5,1.5675659845814673,0.0012466202660505429,0.2788823845534281,-0.11899350696858413
16,6,64,36,0.00040875066790645436,256,80,0.275,5,1.592311889491243,0.001336703861219696,0.28003620536853224,-0.12827189058043675
16,6,56,32,0.0005620078793208733,256,80,0.3,5,1.6480960993990557,0.0012730289955569624,0.2829900810047278,-0.15219988388065953
16,6,60,40,0.000491880094992847,256,80,0.25,5,1.5024836574694826,0.0013937557343129718,0.28315597069382636,-0.15355112631795031
16,6,56,32,0.0003627132089426541,256,80,0.3,5,1.5341716614632108,0.0013589791093440028,0.2834518622256697,-0.15596325520887233
16,6,60,36,0.000567891373727369,256,80,0.25,5,1.5533369930423766,0.001073164867292666,0.28496562200359177,-0.16834294578155973
16,6,64,36,0.00042003785368116504,256,80,0.275,5,1.500444146419582,0.0012211042123707286,0.2865611106586532,-0.1814623970153031
16,6,56,36,0.0004451781082122945,256,80,0.25,5,1.6133726358184013,0.0011326409476139188,0.286730975148414,-0.182863480279696
16,6,60,40,0.000585664068578631,256,80,0.3,5,1.5612260440541286,0.0011251494996987737,0.29049221527192465,-0.21409982675781447
16,6,64,32,0.00047047030089637207,256,80,0.25,5,1.6210068984942685,0.0014277728831568104,0.2945873546884145,-0.2485720287066786
16,6,60,32,0.0005959190132174743,256,80,0.275,5,1.5836930853358098,0.0015048777236645946,0.2976456953110676,-0.27463139757567134
16,6,56,36,0.0005737267568957293,256,80,0.275,5,1.6017539101475862,0.001508893734580399,0.30157669391462666,-0.3085217684580073
16,6,56,32,0.0005846835300358883,256,80,0.25,5,1.5069450699230453,0.0015803043441472704,0.3070773994013341,-0.3566915126816623
16,6,60,40,0.0005670712143360552,256,80,0.3,5,1.624621008961567,0.0013537836767359996,0.3123771130299718,-0.40392469686255983
