trial_id,test_rmse,r2,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/latent_dim,config/channels1,config/channels2,config/kernel_size,config/pool_kernel,config/ssl_lambda,config/ssl_weight,config/augment_const,config/recon_weight,config/epochs,config/lr,config/head_dims_list
10cc3b84,1.0628606081008911,-0.0011332050538206406,1763604904,,True,1,2025-11-20_03-15-04,1.3890340328216553,1.3890340328216553,912772,dis-m17,145.94.32.28,1.3890340328216553,1,"1_augment_const=0.1000,channels1=12,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=5,latent_dim=32,lr=0.0010,pool_kernel=2,recon_weight=0.5000,ssl_lambda=0.5000,ssl_weight=0.5000",32,12,32,5,2,0.5,0.5,0.1,0.5,100,0.001,"[128, 64]"
c4c33f4d,0.9869657158851624,0.11263251165841082,1763604909,,True,1,2025-11-20_03-15-09,1.3194639682769775,1.3194639682769775,913058,dis-m17,145.94.32.28,1.3194639682769775,1,"2_augment_const=0.2000,channels1=8,channels2=8,epochs=100,head_dims_list=64_32,kernel_size=9,latent_dim=16,lr=0.0010,pool_kernel=2,recon_weight=0.1000,ssl_lambda=0.1000,ssl_weight=1.0000",16,8,8,9,2,0.1,1.0,0.2,0.1,100,0.001,"[64, 32]"
714dc37d,0.8450179696083069,0.16717782986594965,1763604914,,True,1,2025-11-20_03-15-14,1.3954336643218994,1.3954336643218994,913336,dis-m17,145.94.32.28,1.3954336643218994,1,"3_augment_const=0.2000,channels1=16,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=7,latent_dim=8,lr=0.0010,pool_kernel=3,recon_weight=0.1000,ssl_lambda=0.5000,ssl_weight=0.5000",8,16,32,7,3,0.5,0.5,0.2,0.1,100,0.001,"[128, 64]"
31185a2a,0.8843923211097717,0.15838804048801025,1763604919,,True,1,2025-11-20_03-15-19,1.3335256576538086,1.3335256576538086,913617,dis-m17,145.94.32.28,1.3335256576538086,1,"4_augment_const=0.2000,channels1=16,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=5,latent_dim=12,lr=0.0050,pool_kernel=2,recon_weight=0.1000,ssl_lambda=1.0000,ssl_weight=1.0000",12,16,16,5,2,1.0,1.0,0.2,0.1,100,0.005,"[128, 64]"
f195372c,1.486845850944519,-0.34631789184154793,1763604924,,True,1,2025-11-20_03-15-24,1.3193538188934326,1.3193538188934326,913895,dis-m17,145.94.32.28,1.3193538188934326,1,"5_augment_const=0.2000,channels1=16,channels2=16,epochs=100,head_dims_list=64_32,kernel_size=3,latent_dim=32,lr=0.0010,pool_kernel=4,recon_weight=0.5000,ssl_lambda=0.5000,ssl_weight=1.0000",32,16,16,3,4,0.5,1.0,0.2,0.5,100,0.001,"[64, 32]"
059a1f63,2.297018527984619,-0.027279787168410063,1763604939,,True,1,2025-11-20_03-15-39,10.999926567077637,10.999926567077637,914172,dis-m17,145.94.32.28,10.999926567077637,1,"6_augment_const=0.1000,channels1=32,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=5,latent_dim=32,lr=0.0100,pool_kernel=4,recon_weight=0.1000,ssl_lambda=0.5000,ssl_weight=0.5000",32,32,16,5,4,0.5,0.5,0.1,0.1,100,0.01,"[128, 64]"
c06a02c8,1.113853096961975,-0.04162695956101925,1763604944,,True,1,2025-11-20_03-15-44,1.3664836883544922,1.3664836883544922,914531,dis-m17,145.94.32.28,1.3664836883544922,1,"7_augment_const=0.1000,channels1=16,channels2=32,epochs=100,head_dims_list=128_64,kernel_size=3,latent_dim=12,lr=0.0100,pool_kernel=3,recon_weight=0.1000,ssl_lambda=1.0000,ssl_weight=0.1000",12,16,32,3,3,1.0,0.1,0.1,0.1,100,0.01,"[128, 64]"
248e3fc3,0.9455298781394958,-0.03531376360716809,1763604949,,True,1,2025-11-20_03-15-49,1.3213083744049072,1.3213083744049072,914812,dis-m17,145.94.32.28,1.3213083744049072,1,"8_augment_const=0.2000,channels1=8,channels2=16,epochs=100,head_dims_list=128_64,kernel_size=7,latent_dim=32,lr=0.0050,pool_kernel=3,recon_weight=0.5000,ssl_lambda=0.1000,ssl_weight=1.0000",32,8,16,7,3,0.1,1.0,0.2,0.5,100,0.005,"[128, 64]"
c45482aa,1.9190291166305542,-0.15184409727241532,1763604779,,False,1,2025-11-20_03-12-59,1.323315143585205,1.323315143585205,906509,dis-m17,145.94.32.28,1.323315143585205,1,"9_augment_const=0.0500,channels1=8,channels2=8,epochs=100,head_dims_list=128_64,kernel_size=7,latent_dim=32,lr=0.0100,pool_kernel=4,recon_weight=0.1000,ssl_lambda=1.0000,ssl_weight=1.0000",32,8,8,7,4,1.0,1.0,0.05,0.1,100,0.01,"[128, 64]"
e2b1bd67,0.8310145139694214,0.1556732126334256,1763604955,,True,1,2025-11-20_03-15-55,1.404808759689331,1.404808759689331,915090,dis-m17,145.94.32.28,1.404808759689331,1,"10_augment_const=0.0500,channels1=8,channels2=32,epochs=100,head_dims_list=64_32,kernel_size=7,latent_dim=12,lr=0.0100,pool_kernel=2,recon_weight=0.5000,ssl_lambda=0.1000,ssl_weight=0.1000",12,8,32,7,2,0.1,0.1,0.05,0.5,100,0.01,"[64, 32]"
