pretrain_epochs,train_epochs,batch_size,decoder_hidden_dims,projection_dim,lr_pretrain,lr_train,results,linreg_rmse,catboost_rmse,unsupervised_rmse,rf_rmse,el_rmse,timestamp,batch_size_pretrain,batch_size_train
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 17:54:05.130527,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 17:54:05.291060,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 17:54:07.352738,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 17:58:00.139353,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 17:58:53.300240,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 17:59:01.222720,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 18:01:40.301304,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 18:02:21.519417,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 18:02:52.348665,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 18:04:21.815046,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 18:04:31.981751,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-17 18:06:46.295102,,
150,150,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.1135'},0.8483,0.8199,0.938,0.8446,0.814,2025-09-17 18:19:17.140423,,
150,150,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.1135'},0.8483,0.8199,0.938,0.8446,0.814,2025-09-18 14:02:55.380802,,
150,10,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '1.0251'},0.9968,0.9538,0.9624,0.9711,0.9261,2025-09-18 15:09:22.733276,,
150,30,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '0.9460'},0.8973,0.8888,0.9458,0.8884,0.8861,2025-09-18 15:12:39.317944,,
200,31,16.0,"[16, 64, 128]",16,0.001,0.001,{1.0: '0.9748'},0.9039,0.8863,0.9327,0.8679,0.885,2025-09-18 15:34:07.547071,,
300,50,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '0.9913'},0.9355,0.9621,0.9244,0.9194,0.914,2025-09-18 18:57:05.875064,,
300,45,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '0.9989'},0.9363,0.953,0.9475,0.9179,0.9149,2025-09-18 19:01:00.294735,,
300,40,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0020'},0.9369,0.9502,0.9531,0.9183,0.9156,2025-09-18 19:13:16.622226,,
300,35,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0036'},0.9375,0.9464,0.9332,0.9225,0.9163,2025-09-18 19:16:38.309676,,
300,35,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0036'},0.9375,0.9464,0.9332,0.9225,0.9163,2025-09-18 19:16:55.874337,,
300,30,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0063'},0.9375,0.9445,0.9363,0.9217,0.9166,2025-09-18 19:19:54.207154,,
300,25,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0095'},0.9374,0.9432,0.9663,0.9172,0.9166,2025-09-18 19:22:55.691111,,
300,20,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0124'},0.937,0.943,0.9443,0.9146,0.9165,2025-09-18 19:27:01.629710,,
300,15,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0148'},0.9367,0.9411,0.9443,0.9146,0.9166,2025-09-18 19:28:41.413653,,
300,10,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0171'},0.9362,0.94,0.9137,0.9163,0.9165,2025-09-18 19:30:27.728647,,
300,5,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0193'},0.9354,0.9404,0.9355,0.9139,0.9162,2025-09-18 19:32:12.772005,,
300,3,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0204'},0.9356,0.9399,0.9378,0.9116,0.9164,2025-09-18 19:38:02.652316,,
300,3,16.0,"[16, 64, 128]",16,0.001,0.0001,{1.0: '1.0204'},0.9356,0.9399,0.9378,0.9116,0.9164,2025-09-18 22:40:28.310158,,
